,Third Row Head Room (inches),Third Row Leg Room (inches),Third Row Shoulder Room (inches),Third Row Hip Room (inches),Displacement (liters/cubic inches),Maximum Horsepower @ RPM,"CO2 Emissions, 15K mi/year (tons)","EPA Fuel Economy, combined/city/highway (mpg)",Length (inches),"Width, without mirrors (inches)",Height (inches),Passenger / Seating Capacity,Cargo Space/Area Behind Second Row (cubic feet),Cargo Space/Area Behind Third Row (cubic feet),Front Tire Size,Minimum Ground Clearance (inches),"Range, city/highway (miles)",EPA Classification,Drivetrain,Engine Order Code,Engine Type and Required Fuel,Fuel System,Maximum Torque @ RPM,Cooling System Capacity (quarts),Transmission Order Code,Transmission Description,Number of Transmission Speeds,First Gear Ratio (:1),Second Gear Ratio (:1),Third Gear Ratio (:1),Fourth Gear Ratio (:1),Fifth Gear Ratio (:1),Sixth Gear Ratio (:1),Seventh Gear Ratio (:1),Eighth Gear Ratio (:1),Reverse Ratio (:1),Final Drive Axle Ratio (:1),"Transfer Case Gear Ratio, high (:1)","Transfer Case Gear Ratio, low (:1)",Clutch Size,EPA Greenhouse Gas Score,"EPA Fuel Economy Equivalent (for hybrid and electric vehicles), combined/city/highway (MPGe)",Fuel Capacity / Gas Tank Size,Aux Fuel Tank Capacity (gallons),Wheelbase (inches),Front Track Width (inches),Rear Track Width (inches),Rear Door Opening Height (inches),Rear Door Opening Width (inches),Liftover Height (inches),Total Passenger Volume (cubic feet),Front Head Room (inches),Front Leg Room (inches),Front Shoulder Room (inches),Front Hip Room (inches),Second Row Head Room (inches),Second Row Leg Room (inches),Second Row Shoulder Room (inches),Second Row Hip Room (inches),Cargo Space/Area Length Behind First Row (inches),Cargo Space/Area Length Behind Second Row (inches),Cargo Space/Area Length Behind Third Row (inches),Cargo Space/Area Width at Beltline (inches),Cargo Bed Width Between Wheelhousings (inches),Cargo Bed Height (inches),Cargo Space/Area Behind Front Row (cubic feet),Steering Type,Steering Ratio (:1),"Turns, lock to lock","Turning Diameter / Radius, curb to curb (feet)","Turning Diameter / Radius, wall to wall (feet)",Front Suspension Type,Rear Suspension Type,Front Shock Absorber Diameter (mm),Rear Shock Absorber Diameter (mm),Front Anti-Roll Bar Diameter (inches),Rear Anti-Roll Bar Diameter (inches),Brake Type,Anti-Lock-Braking System,"Front Brake Rotors, diameter x thickness (inches)","Rear Brake Rotors, diameter x thickness (inches)","Rear Drums, diameter x width (inches)",Front Wheel Material,Front Wheel Size (inches),Rear Wheel Size (inches),Rear Wheel Material,Rear Tire Size,Spare Wheel Size (inches),Spare Wheel Material,Spare Tire Size,Maximum Towing Capacity (pounds),"Maximum Trailer Weight, dead weight hitch (pounds)","Maximum Tongue Weight, dead weight hitch (pounds)","Maximum Trailer Weight, weight distributing hitch (pounds)","Maximum Tongue Weight, weight distributing hitch (pounds)",Base Curb Weight (pounds),Total Option Weight (pounds),Maximum Payload Capacity (pounds),Curb Weight,Cold Cranking Amps @ 0° F,Maximum Alternator Capacity (amps),Overall Rating,Overall Frontal Barrier Crash Rating,Frontal Barrier Crash Rating Driver,Frontal Barrier Crash Rating Passenger,Overall Side Crash Rating,Side Barrier Rating,Side Barrier Rating Driver,Side Barrier Rating Passenger Rear Seat,Side Pole Rating Driver Front Seat,Combined Side Rating Front Seat,Combined Side Rating Rear Seat,Rollover Rating,Engine Oil Cooler,Transfer Case Model,Body Length,"Ground Clearance, Front",Cargo Bed Width at Floor (inches),Cargo Space/Area (cubic feet),As Spec'd Payload Capacity (pounds),Gross Vehicle Weight Rating (pounds),Front Gross Axle Weight Rating (pounds),Rear Gross Axle Weight Rating (pounds),Payload Weight Front,Cold Cranking Amps @ 0° F (2nd)
2022 Kia Telluride  SX AWD  Features and Specs,37.8,31.4,55.3,43.7,3.8 L/231,291 @ 6000,8.4,21 / 19 / 24,196.9,78.3,68.9,7,46,21,P245/50VR20,8,357.20 / 451.20,Small SUV 4WD,All Wheel Drive,NA,Regular Unleaded V-6,Gasoline Direct Injection,262 @ 5200,NA,NA,Automatic w/OD,8,4.81,2.9,1.86,1.42,1.22,1,0.8,0.65,3.42,3.65,NA,NA,NA,NA,N/A / N/A / N/A,18.8,NA,114.2,67.2,67.6,NA,NA,NA,157.1,39.5,41.4,61.6,58.9,38.8,42.4,59.9,58,NA,NA,NA,NA,NA,NA,87,Rack-Pinion,NA,NA,38.8,NA,Strut,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,13.4,12,NA,Aluminum,20 X 7.5,20 X 7.5,Aluminum,P245/50VR20,Compact,Steel,Compact,5000,5000,500,5000,500,4354,0,NA,NA,NA,NA,5/5,4/5,4/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Jeep Grand Wagoneer  Series II Obsidian 4x4  Features and Specs,39,36.6,64.4,51.6,6.4 L/392,471 @ 6000,11.8,15 / 13 / 18,214.7,83.6,75.6,7,70.9,27.4,P285/45TR22,10,344.50 / 477.00,,Four Wheel Drive,ESG,Premium Unleaded V-8,Sequential MPI,455 @ 4400,NA,DFR,Automatic w/OD,8,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.29,NA,NA,NA,NA,NA,,26.5,NA,123,68.5,68.3,NA,NA,31.9,,41.3,40.9,66.1,63.4,40,42.7,65.2,63,NA,NA,NA,NA,NA,NA,94.2,Rack-Pinion,NA,,38,NA,Short And Long Arm,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,14.9,14.8,NA,Aluminum,22 X 9,22 X 9,Aluminum,P285/45TR22,Full-Size,Aluminum,Full-Size,8260,5000,500,8260,826,6400,0,NA,NA,800,240,,,,,,,,,,,,,None,Electronic,0,NA,NA,NA,NA,7700,NA,NA,0,800
2022 Jeep Wagoneer  Series I 4x2  Features and Specs,39,36.6,64.4,51.6,5.7 L/345,392 @ 5600,9.8,18 / 16 / 22,214.7,83.6,75.6,8,70.8,27.4,P275/65HR18,8.3,424.00 / 583.00,,Rear Wheel Drive,EZL,Gas/Electric V-8,Sequential MPI,404 @ 3950,NA,DFR,Automatic w/OD,8,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.29,NA,NA,NA,NA,NA,,26.5,NA,123,68.5,68.3,NA,NA,34,,41.3,40.9,66.1,63.4,40,42.7,65.2,63,NA,NA,NA,NA,NA,NA,116.7,Rack-Pinion,NA,,38,NA,Short And Long Arm,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,14.9,14.8,NA,Aluminum,18 X 8,18 X 8,Aluminum,P275/65HR18,Full-Size,Aluminum,Full-Size,NA,NA,NA,NA,NA,NA,0,NA,NA,730,NA,,,,,,,,,,,,,None,None,0,NA,NA,NA,NA,7400,NA,NA,0,730
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Volvo XC90  T6 R-Design AWD 4dr  Features and Specs,35.5,31.9,46.9,NA,2.0 L/120,316 @ 5700,8.1,22 / 20 / 25,194.8,79.1,69.9,7,35.6,12.6,P275/45HR20,9.3,376.00 / 470.00,Standard SUV 4WD,All Wheel Drive,NA,Turbo/Supercharger Premium Unleaded I-4,Gasoline Direct Injection,295 @ 2200,NA,NA,Automatic w/OD,8,5.25,3.03,1.95,1.46,1.22,1,0.81,0.67,4.01,3.33,NA,NA,NA,NA,N/A / N/A / N/A,18.8,NA,117.5,66,66.1,NA,NA,30.8,103.8,38.9,40.9,57.7,NA,38.5,37,56.5,NA,80.3,49.6,21.8,NA,47.4,35,65.5,Rack-Pinion,NA,NA,NA,NA,Double Wishbone,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,13.2,12.1,NA,Aluminum,20 X 9,20 X 9,Aluminum,P275/45HR20,Compact,Steel,Compact,5000,5000,500,5000,500,4394,0,NA,NA,800,210,,,,,,,,,,,,,,,,,,,,,,,,
2018 Volkswagen Atlas  3.6L V6 S 4MOTION  Features and Specs,38.3,33.7,54.9,45.1,3.6 L/220,276 @ 6200,9.3,19 / 17 / 23,198.3,78.3,70,7,55.5,20.6,P245/60HR18,NA,316.20 / 427.80,Small SUV 4WD,All Wheel Drive,NA,Regular Unleaded V-6,Gasoline Direct Injection,266 @ 2750,NA,NA,Automatic w/OD,8,5.59,3.14,1.95,1.43,1.21,1,0.81,0.67,3.99,3.6,NA,NA,NA,NA,N/A / N/A / N/A,18.6,NA,117.3,67.2,67.8,NA,NA,NA,153.7,41.3,41.5,61.5,58.2,40.4,37.6,60.8,58,NA,NA,NA,NA,NA,NA,96.8,Rack-Pinion,NA,NA,38.1,NA,Strut,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,13.2,12.2,NA,Aluminum,18 X 8,18 X 8,Aluminum,P245/60HR18,Compact,Steel,Compact,NA,NA,NA,NA,NA,4502,0,NA,NA,NA,NA,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,,,,,,,,,,,,
2016 Honda Pilot  EX-L AWD 4dr w/Navi  Features and Specs,38.9,31.9,57.6,44.6,3.5 L/212,280 @ 6000,8.4,21 / 18 / 26,194.5,78.6,69.8,8,46.8,16.5,P245/60HR18,NA,351.00 / 507.00,Small SUV 4WD,All Wheel Drive,NA,Regular Unleaded V-6,Gasoline Direct Injection,262 @ 4700,NA,NA,Automatic w/OD,6,3.36,2.1,1.49,1.06,0.75,0.56,,,2.27,4.25,NA,NA,NA,NA,N/A / N/A / N/A,19.5,NA,111,66.3,66.3,NA,NA,NA,151.7,39.5,40.9,62,59.1,39.9,38.4,62,57.3,NA,NA,NA,NA,NA,NA,83.9,Rack-Pinion,NA,NA,39.4,NA,Strut,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,12.6,13,NA,Aluminum,18 X 8,18 X 8,Aluminum,P245/60HR18,Compact,Steel,Compact,NA,NA,NA,NA,NA,4288,0,NA,NA,NA,NA,5/5,4/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,,,,,,,,,,,,
2019 Subaru Ascent   2.4T 8-Passenger  Features and Specs,36.3,31.7,57.2,45.9,2.4 L/146,260 @ 5600,7.7,23 / 21 / 27,196.8,76,71.6,8,47.5,17.8,P245/60HR18,8.7,405.30 / 521.10,Standard SUV 4WD,All Wheel Drive,NA,Intercooled Turbo Regular Unleaded H-4,Gasoline Direct Injection,277 @ 2000,NA,NA,CVT w/OD,8,3.23 - 0.75,NA,NA,NA,NA,NA,0.6,0.47,3.14,4.44,NA,NA,NA,NA,N/A / N/A / N/A,19.3,NA,113.8,64.4,64.2,NA,NA,32,153.5,41.3,42.2,61.1,57.7,40,38.6,60.3,57.5,82.5,47.6,19.9,47.2,45.9,33.9,86.5,Rack-Pinion,NA,NA,38,NA,Strut,Double Wishbone,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,13.1,13,NA,Aluminum,18 X 7.5,18 X 7.5,Aluminum,P245/60HR18,Compact,Steel,Compact,2000,2000,200,2000,200,4430,0,NA,NA,NA,NA,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,,,,,,,,,,,,
Jeep Grand Cherokee L   Features and Specs,37.3,30.3,51.9,42.9,3.6 L/220,293 @ 6400,8.4,21 / 18 / 25,204.9,77.9,71.5,6,46.9,17.2,P265/50VR20,10.9,414.00 / 575.00,Standard SUV 4WD,Four Wheel Drive,ERC,Regular Unleaded V-6,Sequential MPI,257 @ 4000,NA,DFT,Automatic w/OD,8,4.71,3.14,2.11,1.67,1.28,1,0.84,0.67,3.29,3.45,NA,NA,NA,NA,N/A / N/A / N/A,23,NA,121.7,65.4,65.4,NA,NA,30.2,151.9,39.8,41.3,59.2,57.4,39.9,39.4,58,56.3,NA,NA,NA,NA,NA,NA,84.6,Rack-Pinion,NA,NA,38.3,NA,Multi-Link,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,13.9,13.8,NA,Aluminum,20 X 8.5,20 X 8.5,Aluminum,P265/50VR20,Full-Size,Steel,Full-Size,6200,5000,500,6200,620,5086,0,NA,NA,700,240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Volkswagen Atlas  3.6L V6 SEL 4MOTION  Features and Specs,38.3,33.7,54.9,45.1,3.6 L/220,276 @ 6200,9.3,19 / 17 / 23,198.3,78.3,70,7,55.5,20.6,P245/60HR18,NA,316.20 / 427.80,Small SUV 4WD,All Wheel Drive,NA,Regular Unleaded V-6,Gasoline Direct Injection,266 @ 2750,NA,NA,Automatic w/OD,8,5.59,3.14,1.95,1.43,1.21,1,0.81,0.67,3.99,3.6,NA,NA,NA,NA,N/A / N/A / N/A,18.6,NA,117.3,67.2,67.8,NA,NA,NA,153.7,41.3,41.5,61.5,58.2,40.4,37.6,60.8,58,NA,NA,NA,NA,NA,NA,96.8,Rack-Pinion,NA,NA,38.1,NA,Strut,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,13.2,12.2,NA,Aluminum,18 X 8,18 X 8,Aluminum,P245/60HR18,Compact,Steel,Compact,5000,5000,500,5000,500,4502,0,NA,NA,NA,NA,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,,,,,,,,,,,,
2018 Volkswagen Atlas  3.6L V6 SE 4MOTION  Features and Specs,38.3,33.7,54.9,45.1,3.6 L/220,276 @ 6200,9.3,19 / 17 / 23,198.3,78.3,70,7,55.5,20.6,P245/60HR18,NA,316.20 / 427.80,Small SUV 4WD,All Wheel Drive,NA,Regular Unleaded V-6,Gasoline Direct Injection,266 @ 2750,NA,NA,Automatic w/OD,8,5.59,3.14,1.95,1.43,1.21,1,0.81,0.67,3.99,3.6,NA,NA,NA,NA,N/A / N/A / N/A,18.6,NA,117.3,67.2,67.8,NA,NA,NA,153.7,41.3,41.5,61.5,58.2,40.4,37.6,60.8,58,NA,NA,NA,NA,NA,NA,96.8,Rack-Pinion,NA,NA,38.1,NA,Strut,Multi-Link,NA,NA,NA,NA,4-Wheel Disc,4-Wheel,13.2,12.2,NA,Aluminum,18 X 8,18 X 8,Aluminum,P245/60HR18,Compact,Steel,Compact,NA,NA,NA,NA,NA,4502,0,NA,NA,NA,NA,5/5,5/5,4/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,5/5,4/5,,,,,,,,,,,,
